ds,yhat,yhat_lower,yhat_upper
2020-05-10 07:54:31,0.02070409128635575,-0.017483666803410257,0.05767075880930203
2021-05-26 09:52:19,0.0267653735623027,-0.007631779364485156,0.06744887403831036
2021-06-12 04:50:54,0.02903176842286271,-0.009830350478036048,0.06647524652111114
2021-06-22 15:38:15,0.027300276006920136,-0.012363556683953891,0.06927385394426552
2021-07-03 14:47:55,0.026236500079318808,-0.010064481230551856,0.06485258441851587
2021-11-22 14:31:06,0.012103330123179764,-0.026435384496941217,0.049793540599548866
2022-03-11 13:42:15,0.04380464483336569,0.007366628463497589,0.08092245801003929
2022-03-16 11:58:11,0.04233623803102014,0.002382097276817947,0.0792737963680997
2022-03-31 07:38:45,0.042296137664179195,0.006196972977328658,0.08252601077244306
2022-04-07 07:21:54,0.04238046481178933,0.0016350687337329229,0.07722122503214758
2022-04-23 10:35:32,0.03990696024447836,0.0004862325799490548,0.08101633154648945
2022-07-19 13:17:02,0.0326956425741667,-0.009397517144206256,0.07047761055571192
2022-09-15 23:02:55,0.010160896462370173,-0.03034157330053104,0.04974359011014639
2022-09-16 18:11:46,0.010754396331039202,-0.027212770074273893,0.04893256499687012
2022-09-30 14:43:10,0.02955393488803027,-0.010140790632890317,0.06861466645272062
2022-10-28 14:19:02,0.025551412104048092,-0.013161522522650085,0.06414343589886828
2022-11-17 20:07:57,0.027540024705368545,-0.01176125626785587,0.06455794451182413
2022-11-23 19:52:44,0.020065780554480467,-0.020608805312782873,0.05697970348810151
2022-12-15 11:37:59,0.020296898767543082,-0.016558676551222295,0.06048843087672012
2022-12-17 15:56:23,0.02698562681762336,-0.012593954877572925,0.06664889484440949
2022-12-22 11:08:51,0.03662308097938152,-0.004553841284691725,0.076200573097717
2023-01-05 18:20:41,0.05537810953820399,0.01826953499213237,0.09442866706431689
2023-01-09 14:44:26,0.055673888250662405,0.01433407710166985,0.09247725895803904
2023-02-07 16:44:08,0.05632707489260201,0.018411614468412798,0.09425612342458291
2023-02-10 09:31:01,0.05467463073736546,0.013722867132234176,0.09361957182492221
2023-02-10 14:48:04,0.05557814238107836,0.01598620481521135,0.09505485320500891
2023-02-28 16:38:26,0.05381173396545229,0.015035131576490187,0.09153766379168361
2023-03-11 08:48:50,0.053213507362991706,0.01158874432301748,0.09219478860964206
2023-03-11 20:28:21,0.05352029445113325,0.013109811224546408,0.08951338177294682
2023-03-12 17:19:43,0.05220893683531655,0.011306862790177211,0.09250060647676578
2023-03-13 11:53:27,0.05188432254961316,0.014159800242176156,0.09186909236240247
2023-03-14 12:39:09,0.05360441451716976,0.012901868132328409,0.09171401557475864
2023-03-24 21:19:29,0.05250935517420846,0.012367736344828118,0.08900620144939994
2023-03-24 23:52:51,0.05332114774850368,0.015888485123908683,0.09202405400577206
2023-03-25 16:12:53,0.05217857301546163,0.0130207408796335,0.08930487600627743
2023-03-25 18:49:46,0.05273854802642144,0.014907382818832315,0.08925628635311478
2023-03-30 23:25:42,0.05237790375899016,0.017828367121805213,0.09170235300623197
2023-04-07 11:33:27,0.05157378647394488,0.012483384692424397,0.09018001731165576
2023-04-08 12:09:30,0.05219547304297867,0.013441390867198711,0.0907656529909561
2023-04-13 17:01:45,0.05062427999830815,0.011227788777782419,0.08909282213679125
2023-04-15 16:54:24,0.05134284281213582,0.012551682775892746,0.09028549577605725
2023-04-26 12:32:27,0.04945169302815376,0.00952585899079219,0.08990999496972432
2023-04-28 18:46:47,0.05017366665157266,0.010262313400037927,0.08924185224227507
2023-05-09 00:12:51,0.05060801556216894,0.014560798256222987,0.09155911666811907
2023-05-14 18:47:34,0.04839284914337394,0.010150151599026385,0.08736280710242703
2023-05-16 15:28:29,0.0491272624860869,0.012200002256152517,0.0907086510037797
2023-05-16 18:24:18,0.049366011599075894,0.01077554820115645,0.08949706592955847
2023-05-20 22:43:19,0.04808490713850409,0.010038713000283634,0.0863503923975255
2023-05-21 18:44:47,0.047220558503298524,0.006759301092258261,0.08886804256398832
2023-05-23 09:32:53,0.047348251564259765,0.01068013329646194,0.08695807486680822
2023-05-23 11:32:06,0.04739999125972382,0.009008738442597662,0.08603873658390643
2023-05-25 09:53:24,0.04521651421762544,0.0051892891332044905,0.08197304307991644
2023-05-30 06:36:56,0.04826787907279277,0.010573738746064211,0.08944424575354382
2023-06-04 11:02:34,0.04579004271911784,0.006235479336552874,0.08412631288124955
2023-06-05 16:14:10,0.04645541376815463,0.004806445212247929,0.08483806939550934
2023-06-09 23:34:27,0.04824439217998668,0.010287877668030378,0.08875377928742526
2023-06-13 15:23:57,0.0479954270892993,0.011079832273595212,0.08700908206190541
2023-06-14 12:52:33,0.04694045118062234,0.007123040033888158,0.08837887556939665
2023-06-21 12:33:08,0.04574231674866071,0.005087085577612437,0.08520294352607824
2023-07-06 09:06:39,0.043765819100096824,0.006496231421770522,0.08357796395218532
2023-07-07 13:43:56,0.04561231933458847,0.004283149911402371,0.08432800898466382
2023-07-09 19:03:43,0.04506205070010376,0.00601433390406477,0.08462453413766836
2023-07-15 15:43:49,0.04427496052352995,0.004465913156321079,0.08501439133102857
2023-07-17 20:02:45,0.04318713296614032,0.004185651378881373,0.081396504232926
2023-07-31 12:42:57,0.023149319378796544,-0.01539042410577698,0.06329246061841383
2023-08-01 14:20:53,0.022981946805101683,-0.016323849406093865,0.06471118234539572
2023-08-10 18:51:00,0.012687136785580505,-0.024819766883643266,0.052037497251426854
2023-08-14 03:35:18,0.013575542275471128,-0.02575275351408212,0.05507149585812405
